model,source,target,selections,mean_weight,selection_frequency
G2,ADI,TXN,16,0.6744552254676819,2.0
G2,TXN,ADI,16,0.6744552254676819,2.0
G2,AMAT,LRCX,16,0.6725411862134933,2.0
G2,LRCX,AMAT,16,0.6725411862134933,2.0
G2,AVGO,TXN,16,0.6005140542984009,2.0
G2,TXN,AVGO,16,0.6005140542984009,2.0
G2,AMAT,TXN,16,0.5806248933076859,2.0
G2,TXN,AMAT,16,0.5806248933076859,2.0
G2,AMD,NVDA,16,0.580586314201355,2.0
G2,NVDA,AMD,16,0.580586314201355,2.0
G2,INTC,TXN,16,0.4416024535894394,2.0
G2,TXN,INTC,16,0.4416024535894394,2.0
G2,AMAT,KLAC,12,0.6475852330525717,1.5
G2,KLAC,AMAT,12,0.6475852330525717,1.5
G2,KLAC,LRCX,12,0.643550177415212,1.5
G2,LRCX,KLAC,12,0.643550177415212,1.5
G2,AMAT,AVGO,12,0.5609656622012457,1.5
G2,AVGO,AMAT,12,0.5609656622012457,1.5
G2,ADI,AMAT,12,0.5185534159342448,1.5
G2,AMAT,ADI,12,0.5185534159342448,1.5
G2,AMAT,QCOM,12,0.515351394812266,1.5
G2,QCOM,AMAT,12,0.515351394812266,1.5
G2,QCOM,TXN,12,0.5083829859892527,1.5
G2,TXN,QCOM,12,0.5083829859892527,1.5
G2,NVDA,TXN,12,0.4540722618500392,1.5
G2,TXN,NVDA,12,0.4540722618500392,1.5
G2,AMAT,MU,12,0.45211918155352276,1.5
G2,MU,AMAT,12,0.45211918155352276,1.5
G2,ADI,QCOM,10,0.49706588983535765,1.25
G2,QCOM,ADI,10,0.49706588983535765,1.25
G2,AVGO,LRCX,10,0.47328916788101194,1.25
G2,LRCX,AVGO,10,0.47328916788101194,1.25
G2,INTC,NVDA,10,0.3753604769706726,1.25
G2,NVDA,INTC,10,0.3753604769706726,1.25
G2,LRCX,MU,8,0.6473215520381927,1.0
G2,MU,LRCX,8,0.6473215520381927,1.0
G2,MU,TXN,8,0.4380155131220817,1.0
G2,TXN,MU,8,0.4380155131220817,1.0
G2,AMD,QCOM,8,0.3632649630308151,1.0
G2,QCOM,AMD,8,0.3632649630308151,1.0
G2,ADI,KLAC,6,0.47830984989802044,0.75
G2,KLAC,ADI,6,0.47830984989802044,0.75
G2,ADI,AMD,6,0.43826836347579956,0.75
G2,AMD,ADI,6,0.43826836347579956,0.75
G2,ADI,MU,6,0.39425715804100037,0.75
G2,MU,ADI,6,0.39425715804100037,0.75
G2,KLAC,NVDA,4,0.6811219453811646,0.5
G2,NVDA,KLAC,4,0.6811219453811646,0.5
G2,ADI,AVGO,4,0.6604902744293213,0.5
G2,AVGO,ADI,4,0.6604902744293213,0.5
G2,AVGO,QCOM,4,0.6507253050804138,0.5
G2,QCOM,AVGO,4,0.6507253050804138,0.5
G2,AVGO,KLAC,4,0.6489500403404236,0.5
G2,KLAC,AVGO,4,0.6489500403404236,0.5
G2,KLAC,QCOM,4,0.5434512197971344,0.5
G2,QCOM,KLAC,4,0.5434512197971344,0.5
G2,AVGO,MU,4,0.5428246855735779,0.5
G2,MU,AVGO,4,0.5428246855735779,0.5
G2,AMD,KLAC,4,0.5382782220840454,0.5
G2,KLAC,AMD,4,0.5382782220840454,0.5
G2,KLAC,TXN,4,0.4870758205652237,0.5
G2,TXN,KLAC,4,0.4870758205652237,0.5
G2,LRCX,TXN,4,0.4493373781442642,0.5
G2,TXN,LRCX,4,0.4493373781442642,0.5
G2,NVDA,QCOM,4,0.4154632240533829,0.5
G2,QCOM,NVDA,4,0.4154632240533829,0.5
G2,LRCX,NVDA,4,0.415014386177063,0.5
G2,NVDA,LRCX,4,0.415014386177063,0.5
G2,INTC,QCOM,4,0.4047631621360779,0.5
G2,QCOM,INTC,4,0.4047631621360779,0.5
G2,INTC,LRCX,4,0.3642653822898865,0.5
G2,LRCX,INTC,4,0.3642653822898865,0.5
G2,AMD,INTC,4,0.3616329729557037,0.5
G2,INTC,AMD,4,0.3616329729557037,0.5
G2,AVGO,NVDA,2,0.665976345539093,0.25
G2,NVDA,AVGO,2,0.665976345539093,0.25
G2,KLAC,MU,2,0.4819695353507995,0.25
G2,MU,KLAC,2,0.4819695353507995,0.25
G2,AMD,MU,2,0.3850993812084198,0.25
G2,MU,AMD,2,0.3850993812084198,0.25
G2,AMD,TXN,2,0.3688792288303375,0.25
G2,TXN,AMD,2,0.3688792288303375,0.25
G2,AVGO,INTC,2,0.3456757068634033,0.25
G2,INTC,AVGO,2,0.3456757068634033,0.25
G2,AMD,AVGO,2,0.3078921437263489,0.25
G2,AVGO,AMD,2,0.3078921437263489,0.25
G5,ADI,QCOM,16,0.4426476154476404,2.0
G5,NVDA,AMAT,16,0.346187561750412,2.0
G5,INTC,KLAC,16,0.34555554669350386,2.0
G5,AMAT,NVDA,16,0.33768107555806637,2.0
G5,KLAC,NVDA,16,0.33558944985270495,2.0
G5,LRCX,AMAT,16,0.2225882317870855,2.0
G5,QCOM,MU,14,0.3618760279246739,1.75
G5,NVDA,TXN,13,0.4505584469208351,1.625
G5,AVGO,NVDA,12,0.4309347942471504,1.5
G5,QCOM,AMD,12,0.2922065891325473,1.5
G5,TXN,MU,10,0.4249850302934647,1.25
G5,MU,TXN,10,0.1865051809698343,1.25
G5,MU,AVGO,9,0.40402549824729145,1.125
G5,TXN,LRCX,9,0.2847694017820888,1.125
G5,QCOM,LRCX,9,0.1854009036388662,1.125
G5,AVGO,MU,8,0.616686262190342,1.0
G5,MU,AMAT,8,0.6034612059593201,1.0
G5,MU,INTC,8,0.5704005807638168,1.0
G5,KLAC,INTC,8,0.5612591058015823,1.0
G5,ADI,TXN,8,0.5223523676395416,1.0
G5,AVGO,AMAT,8,0.5189842358231544,1.0
G5,QCOM,ADI,8,0.5039881691336632,1.0
G5,AMD,NVDA,8,0.4665595218539238,1.0
G5,AMD,AVGO,8,0.44191134721040726,1.0
G5,AMD,KLAC,8,0.42786354944109917,1.0
G5,MU,AMD,8,0.42305066064000124,1.0
G5,NVDA,AVGO,8,0.4227847084403038,1.0
G5,AVGO,AMD,8,0.3867154382169246,1.0
G5,INTC,AMAT,8,0.35766805335879326,1.0
